Crop,N,P,K,pH,boron,iron,magnese,zinc,calcium,magnesium,sulphur
rice,80,40,40,5.5,0.32,1.39,0.49,0.54,20.1753,15.6919,35.65
maize,80,40,20,5.5,0.57,1.04,0.64,0.47,49.3175,65.0094,23.56
chickpea,40,60,80,5.5,0.57,0.82,0.83,0.27,22.417,30.263,45.69
kidneybeans,20,60,20,5.5,0.17,0.87,0.11,0.11,29.1421,34.52,21.35
pigeonpeas,20,60,20,5.5,0.39,0.54,0.55,0.55,58.2843,19.55,46.21
mothbeans,20,40,20,5.5,0.24,0.6,0.31,0.36,21.63,21.258,45.213
mungbean,20,40,20,5.5,0.19,0.33,1.9,0.32,31.35,40.3506,52.78
blackgram,40,60,20,5,0.21,0.89,0.64,0.24,12.586,24.6587,12.32
lentil,20,60,20,5.5,0.12,0.55,0.52,0.42,19.25,23.5379,39.87
pomegranate,20,10,40,5.5,0.26,12.45,0.89,1.45,23.314,44.834,27.38
banana,100,75,50,6.5,4.47,5.43,1.26,7.04,31.27,64.325,19.87
mango,20,20,30,5,6.25,3.2,1.56,2.96,18.024,52.34,51.02
grapes,20,125,200,4,0.56,0.82,0.36,0.55,12.254,16.23,48.225
watermelon,100,10,50,5.5,4.23,2.14,1.85,0.24,16.45,45.21,33.25
muskmelon,100,10,50,5.5,1.35,2.03,1.65,0.8,13.58,64.356,61.254
apple,20,125,200,6.5,1.36,0.75,0.98,1.32,33.6255,23.145,45.24
orange,20,10,10,4,2.54,0.63,0.74,1.45,89.6681,19.25,49.84
papaya,50,50,50,6,1.38,2.96,2.65,2.76,12.35,15.36,28.97
coconut,20,10,30,5,9.8,14.6,7.45,37.7,1922.26,75.097,65.23
cotton,120,40,20,5.5,1.23,0.98,1.25,1.53,85.1847,16.24,26.58
jute,80,40,40,5.5,0.52,1.02,0.14,0.24,48.23,56.34,33.25
coffee,100,20,30,5.5,1.21,0.64,0.57,0.64,69.785,75.34,41.05
